,0
0,0.8571480298042298
1,0.8744211375713349
2,0.8725156795978546
3,0.8855870229005813
4,0.8994200873374939
5,0.9020194911956787
6,0.901636073589325
7,0.9003454798460007
8,0.9024159169197082
9,0.9075551527738571
10,0.9084188634157181
11,0.9091348087787628
12,0.9096295738220215
13,0.9101579689979553
14,0.9119291704893112
15,0.9115796595811844
16,0.9134555906057358
17,0.9100669872760773
18,0.9151507341861724
19,0.9145201772451401
20,0.9157146888971329
21,0.9158361858129501
22,0.9164111012220383
23,0.9151534444093704
24,0.9153308171033859
25,0.9143471074104309
26,0.9145876657962799
27,0.9150350284576416
28,0.9165169531106949
29,0.9173571008443833
30,0.9177432912588119
31,0.9174233776330948
32,0.9174052232503891
33,0.9165180885791778
34,0.9184499078989029
35,0.9170855098962784
36,0.9181205779314041
37,0.9179589819908142
38,0.9186155235767365
39,0.9185174614191055
40,0.9161690056324006
41,0.9159424591064453
42,0.9172751754522324
43,0.9187772274017334
44,0.9187339812517166
45,0.9193491011857986
46,0.9180166274309158
47,0.9181213915348053
48,0.9182336604595185
49,0.9195166158676148
50,0.9201270085573197
51,0.9020172137022019
52,0.9188711977005005
53,0.9202170199155808
54,0.919161604642868
55,0.9182921290397644
56,0.9194043999910355
57,0.9204227471351624
58,0.919152974486351
59,0.9197540080547333
60,0.920060184597969
61,0.9200308603048325
62,0.9203123807907104
63,0.9208018684387207
64,0.920506432056427
65,0.9201749384403228
66,0.9208104550838471
67,0.920895180106163
68,0.9202313703298569
69,0.9215497714281082
70,0.9200922602415085
71,0.9198762273788452
72,0.9202712869644165
73,0.920677797794342
74,0.9203388404846191
75,0.9199471765756607
76,0.9205911660194397
77,0.9206681567430496
78,0.9211160075664521
79,0.9214326852560043
80,0.9201994800567627
81,0.9203325659036636
82,0.9215556991100311
83,0.9204148519039154
84,0.9206999558210373
85,0.9205909597873688
86,0.921261083483696
87,0.921120229959488
88,0.9205011254549027
89,0.920650537610054
90,0.9211726653575897
91,0.9208425188064575
92,0.9206433576345444
93,0.9212859147787094
94,0.9209321880340576
95,0.9202455657720566
96,0.9210897564888001
97,0.9208078742027282
98,0.9210395282506942
99,0.9211494553089142
100,0.9213022816181183
101,0.921275697350502
102,0.920165468454361
103,0.9209307318925858
104,0.9211269176006317
105,0.9210591721534729
106,0.920695264339447
107,0.9210753226280213
108,0.9208280044794083
109,0.9200187844038009
110,0.920782739520073
111,0.9201494294404984
112,0.9210271638631821
113,0.9204479193687439
114,0.9209530770778656
115,0.9217274028062821
116,0.9211175417900086
117,0.921001695394516
118,0.9204152393341064
119,0.9211164897680283
120,0.9204282504320145
121,0.9205634242296219
122,0.9210819286108017
123,0.9206833624839783
124,0.9205134433507919
125,0.9208447217941285
126,0.9200153386592865
127,0.9205976951122284
128,0.9200398296117782
129,0.920785818696022
130,0.9207737308740616
131,0.9210331243276596
132,0.9206619614362717
133,0.920088352560997
134,0.9209392666816711
135,0.9198586577177048
136,0.9200358819961548
137,0.9199851858615875
138,0.9207504099607468
139,0.9206010240316391
140,0.9204065901041031
141,0.920774837732315
142,0.9205165213346481
143,0.9207776927947998
144,0.9203186631202698
145,0.9201527869701386
146,0.9203411984443665
147,0.9206537133455277
148,0.9203710532188416
149,0.9206660670042038
150,0.9206035768985749
151,0.9199674904346467
152,0.919452367424965
153,0.9214179009199143
154,0.9200731700658799
155,0.9200912553071976
156,0.9207936364412308
157,0.9208432018756867
158,0.9194398128986359
159,0.9192207568883896
160,0.9201322942972183
161,0.9201812851428985
162,0.9193453013896942
163,0.9206622529029846
164,0.9201642751693726
165,0.9211104613542557
166,0.919289909005165
167,0.92095099568367
168,0.9207578504085541
169,0.9193102121353149
170,0.9201034647226334
171,0.91788594186306
172,0.9210573810338974
173,0.9197744297981262
174,0.9205613481998444
175,0.9197463345527649
176,0.9208210438489914
177,0.9194192427396775
178,0.9195372104644776
179,0.9215691417455674
180,0.9196614825725555
181,0.9199784374237061
182,0.9196003347635269
183,0.9140216213464737
184,0.9160681039094924
185,0.9126476669311523
186,0.9175370198488235
187,0.9094536161422729
188,0.9173393487930298
189,0.9177774822711945
190,0.9191412752866746
191,0.9173166447877884
192,0.9187389904260636
193,0.918656422495842
194,0.914970840215683
195,0.9176641595363617
196,0.9171867966651917
197,0.918035882115364
198,0.9169239234924317
199,0.9187225615978241
200,0.9148756963014603
201,0.9172506773471832
202,0.9175477445125579
203,0.9185517072677613
204,0.9191531467437745
205,0.9179853069782257
206,0.9176230329275131
207,0.9189456075429916
208,0.9195141780376435
209,0.9185378384590149
210,0.9178056436777114
211,0.9140067046880722
212,0.9166626173257828
213,0.9169401884078979
214,0.9175289309024811
215,0.917833600640297
216,0.9183036988973617
217,0.9182000094652176
218,0.9171915084123612
